year,movie,imdbscore,metascore,wins,noms,%won,oscarwin,globewin
1996,Braveheart, 8.4, 68,0,1,0.0,yes,no
1996,Apollo 13, 7.6, 77,1,3,33.33333333333333,no,no
1996,Babe, 6.8, 83,0,0,0,no,no
1996,Il Postino: The Postman, 7.8, 81,0,0,0,no,no
1996,Sense and Sensibility, 7.7, 84,2,3,66.66666666666666,no,yes
1997,The English Patient, 7.4, 87,1,3,33.33333333333333,yes,yes
1997,Fargo, 8.1, 85,1,1,100.0,no,no
1997,Jerry Maguire, 7.3, 77,0,1,0.0,no,no
1997,Secrets & Lies, 8.0, 91,0,1,0.0,no,no
1997,Shine, 7.7, 87,0,3,0.0,no,no
1998,Titanic, 7.7, 74,1,3,33.33333333333333,yes,yes
1998,As Good as It Gets, 7.7, 67,0,1,0.0,no,no
1998,The Full Monty, 7.2, 75,1,2,50.0,no,no
1998,Good Will Hunting, 8.3, 70,0,3,0.0,no,no
1998,L.A. Confidential, 8.3, 90,1,3,33.33333333333333,no,no
1999,Shakespeare in Love, 7.2, 87,1,2,50.0,yes,no
1999,Elizabeth, 7.5, 75,0,2,0.0,no,no
1999,Life Is Beautiful, 8.6, 59,0,2,0.0,no,no
1999,Saving Private Ryan, 8.6, 90,2,3,66.66666666666666,no,yes
1999,The Thin Red Line, 7.6, 78,0,1,0.0,no,no
2000,American Beauty, 8.4, 86,3,3,100.0,yes,yes
2000,The Cider House Rules, 7.4, 75,0,2,0.0,no,no
2000,The Green Mile, 8.5, 61,0,2,0.0,no,no
2000,The Insider, 7.9, 84,0,2,0.0,no,no
2000,The Sixth Sense, 8.1, 64,0,1,0.0,no,no
2001,Gladiator, 8.5, 64,2,3,66.66666666666666,yes,yes
2001,Chocolat, 7.3, 64,0,1,0.0,no,no
2001,"Crouching Tiger, Hidden Dragon", 7.9, 93,0,1,0.0,no,no
2001,Erin Brockovich, 7.3, 73,0,2,0.0,no,no
2001,Traffic, 7.6, 86,1,3,33.33333333333333,no,no
2002,A Beautiful Mind, 8.2, 72,2,3,66.66666666666666,yes,yes
2002,Gosford Park, 7.3, 90,1,1,100.0,no,no
2002,In the Bedroom, 7.5, 86,0,3,0.0,no,no
2002,The Lord of the Rings: The Fellowship of the Ring, 8.8, 92,0,3,0.0,no,no
2002,Moulin Rouge!, 7.6, 66,0,2,0.0,no,no
2003,Chicago, 7.2, 82,2,2,100.0,yes,no
2003,Gangs of New York, 7.5, 72,0,2,0.0,no,no
2003,The Hours, 7.6, 81,1,3,33.33333333333333,no,yes
2003,The Lord of the Rings: The Two Towers, 8.7, 88,0,3,0.0,no,no
2003,The Pianist, 8.5, 85,0,2,0.0,no,no
2004,The Lord of the Rings: The Return of the King, 8.9, 94,3,3,100.0,yes,yes
2004,Lost in Translation, 7.8, 89,0,1,0.0,no,no
2004,Master and Commander: The Far Side of the World, 7.4, 81,0,2,0.0,no,no
2004,Mystic River, 8.0, 84,0,3,0.0,no,no
2004,Seabiscuit, 7.3, 72,0,3,0.0,no,no
2005,Million Dollar Baby, 8.1, 86,0,3,0.0,yes,no
2005,The Aviator, 7.5, 77,1,3,33.33333333333333,no,yes
2005,Finding Neverland, 7.7, 67,0,3,0.0,no,no
2005,Ray, 7.7, 73,0,2,0.0,no,no
2005,Sideways, 7.5, 94,3,3,100.0,no,no
2006,Crash, 7.8, 69,1,2,50.0,yes,no
2006,Brokeback Mountain, 7.7, 87,2,4,50.0,no,yes
2006,Capote, 7.4, 88,1,3,33.33333333333333,no,no
2006,"Good Night, and Good Luck.", 7.5, 80,0,3,0.0,no,no
2006,Munich, 7.6, 74,0,1,0.0,no,no
2007,The Departed, 8.5, 85,1,4,25.0,yes,no
