year,movie,actor,wins,noms,%won,oscarwin,globewin
1996,Dead Man Walking , Susan Sarandon,0,1,0.0,yes,no
1996,Leaving Las Vegas , Elisabeth Shue,0,2,0.0,no,no
1996,Casino , Sharon Stone,1,1,100.0,no,yes
1996,The Bridges of Madison County , Meryl Streep,0,1,0.0,no,no
1996,Sense and Sensibility , Emma Thompson,1,2,50.0,no,no
1997,Fargo , Frances McDormand,1,2,50.0,yes,no
1997,Secrets & Lies , Brenda Blethyn,2,2,100.0,no,yes
1997,Marvin's Room , Diane Keaton,0,1,0.0,no,no
1997,The English Patient , Kristin Scott Thomas,0,2,0.0,no,no
1997,Breaking the Waves , Emily Watson,0,2,0.0,no,no
1998,As Good as It Gets , Helen Hunt,0,0,0,yes,no
1998,The Wings of the Dove , Helena Bonham Carter,1,3,33.33333333333333,no,no
1998,Afterglow , Julie Christie,0,0,0,no,no
1998,Mrs Brown , Judi Dench,2,2,100.0,no,yes
1998,Titanic , Kate Winslet,0,1,0.0,no,no
1999,Shakespeare in Love , Gwyneth Paltrow,0,1,0.0,yes,no
1999,Elizabeth , Cate Blanchett,3,3,100.0,no,yes
1999,Central Station , Fernanda Montenegro,0,1,0.0,no,no
1999,One True Thing , Meryl Streep,0,1,0.0,no,no
1999,Hilary and Jackie , Emily Watson,0,2,0.0,no,no
2000,Boys Don't Cry , Hilary Swank,2,2,100.0,yes,yes
2000,American Beauty , Annette Bening,1,2,50.0,no,no
2000,Tumbleweeds , Janet McTeer,0,0,0,no,no
2000,The End of the Affair , Julianne Moore,0,2,0.0,no,no
2000,Music of the Heart , Meryl Streep,0,1,0.0,no,no
2001,Erin Brockovich , Julia Roberts,3,3,100.0,yes,yes
2001,Chocolat , Juliette Binoche,0,1,0.0,no,no
2001,The Contender , Joan Allen,0,1,0.0,no,no
2001,Requiem for a Dream , Ellen Burstyn,0,1,0.0,no,no
2001,You Can Count on Me , Laura Linney,0,2,0.0,no,no
2002,Monster's Ball , Halle Berry,0,1,0.0,yes,no
2002,Bridget Jones's Diary ,Renee Zellweger,0,2,0.0,no,no
2002,In the Bedroom , Sissy Spacek,2,3,66.66666666666666,no,yes
2002,Iris , Judi Dench,1,2,50.0,no,no
2002,Moulin Rouge! , Nicole Kidman,0,1,0.0,no,no
2003,The Hours , Nicole Kidman,2,3,66.66666666666666,yes,yes
2003,Chicago ,Renee Zellweger,0,1,0.0,no,no
2003,Far from Heaven , Julianne Moore,1,2,50.0,no,no
2003,Frida , Salma Hayek,0,3,0.0,no,no
2003,Unfaithful , Diane Lane,0,2,0.0,no,no
2004,Monster , Charlize Theron,2,2,100.0,yes,yes
2004,Whale Rider , Keisha Castle-Hughes,0,0,0,no,no
2004,Something's Gotta Give , Diane Keaton,0,1,0.0,no,no
2004,In America , Samantha Morton,0,1,0.0,no,no
2004,21 Grams , Naomi Watts,0,2,0.0,no,no
2005,Million Dollar Baby , Hilary Swank,2,2,100.0,yes,yes
2005,Being Julia , Annette Bening,0,1,0.0,no,no
2005,Eternal Sunshine of the Spotless Mind , Kate Winslet,0,2,0.0,no,no
2005,Maria Full of Grace , Catalina Sandino Moreno,0,1,0.0,no,no
2005,Vera Drake , Imelda Staunton,1,3,33.33333333333333,no,no
2006,Walk the Line , Reese Witherspoon,2,2,100.0,yes,no
2006,Mrs Henderson Presents , Judi Dench,0,2,0.0,no,no
2006,North Country , Charlize Theron,0,3,0.0,no,no
2006,Pride & Prejudice , Keira Knightley,0,1,0.0,no,no
2006,Transamerica , Felicity Huffman,1,2,50.0,no,yes
2007,The Queen , Helen Mirren,3,3,100.0,yes,yes
2007,The Devil Wears Prada , Meryl Streep,0,2,0.0,no,no
2007,Little Children , Kate Winslet,0,3,0.0,no,no
2007,Notes on a Scandal , Judi Dench,0,3,0.0,no,no
2007,Volver ,Penelope Cruz,0,3,0.0,no,no
2008,La Vie en Rose , Marion Cotillard,1,2,50.0,yes,no
2008, , Away from Her,0,0,0,no,no
2008, , Elizabeth: The Golden Age,0,0,0,no,no
2008, , Juno,0,0,0,no,no
2008, , The Savages,0,0,0,no,no
2009,The Reader , Kate Winslet,1,1,100.0,yes,no
2009,Changeling , Angelina Jolie,0,3,0.0,no,no
2009,Doubt , Meryl Streep,1,3,33.33333333333333,no,no
2009,Frozen River , Melissa Leo,0,1,0.0,no,no
2009,Rachel Getting Married , Anne Hathaway,0,1,0.0,no,no
2010,The Blind Side , Sandra Bullock,1,1,100.0,yes,yes
2010,An Education , Carey Mulligan,1,2,50.0,no,no
2010,Julie & Julia , Meryl Streep,1,2,50.0,no,no
2010,Precious , Gabourey Sidibe,0,2,0.0,no,no
2010,The Last Station , Helen Mirren,0,1,0.0,no,no
2011,Black Swan , Natalie Portman,3,3,100.0,yes,yes
2011,The Kids Are All Right , Annette Bening,0,2,0.0,no,no
2011,Rabbit Hole , Nicole Kidman,0,2,0.0,no,no
2011,Winter's Bone , Jennifer Lawrence,0,2,0.0,no,no
2011,Blue Valentine , Michelle Williams,0,2,0.0,no,no
2012,The Iron Lady , Meryl Streep,2,3,66.66666666666666,yes,yes
2012,Albert Nobbs , Glenn Close,0,1,0.0,no,no
2012,The Help , Viola Davis,1,3,33.33333333333333,no,no
2012,The Girl with the Dragon Tattoo , Rooney Mara,0,1,0.0,no,no
2012,My Week with Marilyn , Michelle Williams,0,2,0.0,no,no
2013,Silver Linings Playbook , Jennifer Lawrence,0,2,0.0,yes,no
2013,Zero Dark Thirty , Jessica Chastain,2,3,66.66666666666666,no,yes
2013,Amour , Emmanuelle Riva,1,2,50.0,no,no
2013,Beasts of the Southern Wild ,Quvenzhane Wallis,0,1,0.0,no,no
2013,The Impossible , Naomi Watts,0,2,0.0,no,no
2014,Blue Jasmine , Cate Blanchett,3,3,100.0,yes,yes
2014,American Hustle , Amy Adams,0,1,0.0,no,no
2014,Gravity , Sandra Bullock,0,3,0.0,no,no
2014,Philomena , Judi Dench,0,3,0.0,no,no
2014,August: Osage County , Meryl Streep,0,1,0.0,no,no
2015,Still Alice , Julianne Moore,3,3,100.0,yes,yes
2015,"Two Days, One Night ", Marion Cotillard,0,1,0.0,no,no
2015,The Theory of Everything , Felicity Jones,0,3,0.0,no,no
2015,Gone Girl , Rosamund Pike,0,3,0.0,no,no
2015,Wild , Reese Witherspoon,0,3,0.0,no,no
2016,Room , Brie Larson,3,3,100.0,yes,yes
2016,Carol , Cate Blanchett,0,3,0.0,no,no
2016,Brooklyn , Saoirse Ronan,0,3,0.0,no,no
2016,Joy , Jennifer Lawrence,0,1,0.0,no,no
2016,45 Years , Charlotte Rampling,0,1,0.0,no,no
