year,movie,actor,wins,noms,%won,oscarwin,globewin
1996,Mighty Aphrodite , Mira Sorvino,3,5,60.0,yes,yes
1996,Nixon , Joan Allen,0,2,0.0,no,no
1996,Apollo 13 , Kathleen Quinlan,0,2,0.0,no,no
1996,Georgia , Mare Winningham,1,3,33.33333333333333,no,no
1996,Sense and Sensibility , Kate Winslet,2,4,50.0,no,no
1997,The English Patient , Juliette Binoche,2,4,50.0,yes,no
1997,The Crucible , Joan Allen,1,3,33.33333333333333,no,no
1997,The Mirror Has Two Faces , Lauren Bacall,2,4,50.0,no,yes
1997,The Portrait of a Lady , Barbara Hershey,0,2,0.0,no,no
1997,Secrets & Lies , Marianne Jean-Baptiste,0,3,0.0,no,no
1998,L.A. Confidential , Kim Basinger,3,3,100.0,yes,yes
1998,In & Out , Joan Cusack,1,3,33.33333333333333,no,no
1998,Good Will Hunting , Minnie Driver,0,1,0.0,no,no
1998,Boogie Nights , Julianne Moore,0,2,0.0,no,no
1998,Titanic , Gloria Stuart,0,2,0.0,no,no
1999,Shakespeare in Love , Judi Dench,2,4,50.0,yes,no
1999,Primary Colors , Kathy Bates,1,4,25.0,no,no
1999,Little Voice , Brenda Blethyn,0,4,0.0,no,no
1999,Hilary and Jackie , Rachel Griffiths,0,2,0.0,no,no
1999,Gods and Monsters , Lynn Redgrave,2,5,40.0,no,yes
2000,"Girl, Interrupted ", Angelina Jolie,4,4,100.0,yes,yes
2000,The Sixth Sense , Toni Collette,0,1,0.0,no,no
2000,Being John Malkovich , Catherine Keener,0,3,0.0,no,no
2000,Sweet and Lowdown , Samantha Morton,0,2,0.0,no,no
2000,Boys Don't Cry ,Chloe Sevigny,1,4,25.0,no,no
2001,Pollock , Marcia Gay Harden,1,2,50.0,yes,no
2001,Almost Famous , Kate Hudson,1,3,33.33333333333333,no,yes
2001,Almost Famous , Frances McDormand,0,4,0.0,no,no
2001,Billy Elliot , Julie Walters,1,4,25.0,no,no
2001,Chocolat , Judi Dench,1,4,25.0,no,no
2002,A Beautiful Mind , Jennifer Connelly,4,4,100.0,yes,yes
2002,Gosford Park , Helen Mirren,1,4,25.0,no,no
2002,Gosford Park , Maggie Smith,0,3,0.0,no,no
2002,In the Bedroom , Marisa Tomei,0,3,0.0,no,no
2002,Iris , Kate Winslet,0,3,0.0,no,no
2003,Chicago , Catherine Zeta-Jones,4,4,100.0,yes,no
2003,About Schmidt , Kathy Bates,0,4,0.0,no,no
2003,Adaptation. , Meryl Streep,1,4,25.0,no,yes
2003,Chicago , Queen Latifah,0,4,0.0,no,no
2003,The Hours , Julianne Moore,0,3,0.0,no,no
2004,Cold Mountain ,Renee Zellweger,5,5,100.0,yes,yes
2004,House of Sand and Fog , Shohreh Aghdashloo,1,2,50.0,no,no
2004,Mystic River , Marcia Gay Harden,0,2,0.0,no,no
2004,Pieces of April , Patricia Clarkson,0,5,0.0,no,no
2004,Thirteen , Holly Hunter,0,5,0.0,no,no
2005,The Aviator , Cate Blanchett,3,5,60.0,yes,no
2005,Closer , Natalie Portman,1,4,25.0,no,yes
2005,Hotel Rwanda , Sophie Okonedo,0,2,0.0,no,no
2005,Kinsey , Laura Linney,0,4,0.0,no,no
2005,Sideways , Virginia Madsen,2,5,40.0,no,no
