year,movie,wins,noms,%won,oscarwin
2006,Crash,2,4,50.0,yes
2006,Brokeback Mountain,3,5,60.0,no
2006,Capote,1,4,25.0,no
2006,"Good Night, and Good Luck.",0,4,0.0,no
2006,Munich,0,1,0.0,no
2007,The Departed,1,5,20.0,yes
2007,Babel,1,4,25.0,no
2007,Letters from Iwo Jima,0,1,0.0,no
2007,Little Miss Sunshine,3,5,60.0,no
2007,The Queen,1,3,33.33333333333333,no
2008,No Country for Old Men,2,3,66.66666666666666,yes
2008,Atonement,1,2,50.0,no
2008,Juno,0,1,0.0,no
2008,Michael Clayton,0,2,0.0,no
2008,There Will Be Blood,0,2,0.0,no
2009,Slumdog Millionaire,3,3,100.0,yes
2009,The Curious Case of Benjamin Button,0,3,0.0,no
2009,Frost/Nixon,0,3,0.0,no
2009,Milk,1,3,33.33333333333333,no
2009,The Reader,0,2,0.0,no
2010,The Hurt Locker,2,4,50.0,yes
2010,A Serious Man,0,2,0.0,no
2010,An Education,0,2,0.0,no
2010,Avatar,1,2,50.0,no
2010,Inglourious Basterds,1,3,33.33333333333333,no
2010,Precious,0,3,0.0,no
2010,Up,0,1,0.0,no
2010,Up in the Air,0,2,0.0,no
2011,The King's Speech,2,4,50.0,yes
2011,127 Hours,0,1,0.0,no
2011,Black Swan,0,5,0.0,no
2011,The Fighter,0,3,0.0,no
2011,Inception,0,3,0.0,no
2011,The Kids Are All Right,0,3,0.0,no
2011,The Social Network,2,4,50.0,no
2011,Toy Story 3,0,1,0.0,no
2011,True Grit,0,2,0.0,no
2011,Winter's Bone,2,3,66.66666666666666,no
2012,The Artist,1,2,50.0,yes
2012,The Tree of Life,0,2,0.0,no
2012,The Descendants,1,4,25.0,no
2012,Extremely Loud & Incredibly Close,0,1,0.0,no
2012,The Help,1,3,33.33333333333333,no
2012,Hugo,0,2,0.0,no
2012,Midnight in Paris,0,3,0.0,no
2012,Moneyball,0,2,0.0,no
2012,War Horse,0,2,0.0,no
2013,Argo,4,4,100.0,yes
2013,Beasts of the Southern Wild,0,1,0.0,no
2013,Django Unchained,0,2,0.0,no
2013,Life of Pi,0,3,0.0,no
2013,Lincoln,0,4,0.0,no
2013,Silver Linings Playbook,0,2,0.0,no
2013,Zero Dark Thirty,0,3,0.0,no
2014,12 Years a Slave,3,6,50.0,yes
2014,The Wolf of Wall Street,0,1,0.0,no
2014,American Hustle,1,3,33.33333333333333,no
2014,Nebraska,0,2,0.0,no
2014,Captain Phillips,0,3,0.0,no
2014,Philomena,0,2,0.0,no
2014,Dallas Buyers Club,1,3,33.33333333333333,no
2014,Gravity,0,3,0.0,no
2014,Her,0,1,0.0,no
2015,Birdman or (The Unexpected Virtue of Ignorance),2,4,50.0,yes
2015,Boyhood,2,5,40.0,no
2015,The Imitation Game,0,3,0.0,no
2015,The Grand Budapest Hotel,0,3,0.0,no
2015,Selma,0,2,0.0,no
2015,The Theory of Everything,0,3,0.0,no
2015,Whiplash,1,2,50.0,no
2016,Spotlight,3,5,60.0,yes
2016,The Revenant,2,3,66.66666666666666,no
2016,Room,0,2,0.0,no
2016,Brooklyn,0,1,0.0,no
2016,Bridge of Spies,0,2,0.0,no
2016,The Martian,0,1,0.0,no
2016,Mad Max: Fury Road,0,2,0.0,no
2016,The Big Short,0,3,0.0,no
