year,movie,actor,wins,noms,%won,oscarwin,globewin
1996,Leaving Las Vegas , Nicolas Cage,2,5,40.0,yes,yes
1996,Mr. Holland's Opus , Richard Dreyfuss,0,1,0.0,no,no
1996,Nixon , Anthony Hopkins,0,2,0.0,no,no
1996,Dead Man Walking , Sean Penn,1,3,33.33333333333333,no,no
1996,Il Postino: The Postman , Massimo Troisi,0,2,0.0,no,no
1997,Shine , Geoffrey Rush,4,4,100.0,yes,yes
1997,Jerry Maguire , Tom Cruise,0,2,0.0,no,no
1997,The English Patient , Ralph Fiennes,0,3,0.0,no,no
1997,The People vs. Larry Flynt , Woody Harrelson,0,2,0.0,no,no
1997,Sling Blade , Billy Bob Thornton,0,1,0.0,no,no
1998,As Good as It Gets , Jack Nicholson,2,2,100.0,yes,no
1998,Good Will Hunting , Matt Damon,0,2,0.0,no,no
1998,The Apostle , Robert Duvall,1,2,50.0,no,no
1998,Ulee's Gold , Peter Fonda,1,3,33.33333333333333,no,yes
1998,Wag the Dog , Dustin Hoffman,0,1,0.0,no,no
1999,Life Is Beautiful , Roberto Benigni,2,2,100.0,yes,no
1999,Saving Private Ryan , Tom Hanks,0,3,0.0,no,no
1999,Gods and Monsters , Ian McKellen,1,3,33.33333333333333,no,no
1999,Affliction , Nick Nolte,0,3,0.0,no,no
1999,American History X , Edward Norton,0,0,0,no,no
2000,American Beauty , Kevin Spacey,2,3,66.66666666666666,yes,no
2000,The Insider , Russell Crowe,1,4,25.0,no,no
2000,The Straight Story , Richard Farnsworth,1,2,50.0,no,no
2000,Sweet and Lowdown , Sean Penn,0,0,0,no,no
2000,The Hurricane , Denzel Washington,1,2,50.0,no,yes
2001,Gladiator , Russell Crowe,1,4,25.0,yes,no
2001,Before Night Falls , Javier Bardem,1,2,50.0,no,no
2001,Cast Away , Tom Hanks,1,3,33.33333333333333,no,yes
2001,Pollock , Ed Harris,0,0,0,no,no
2001,Quills , Geoffrey Rush,0,4,0.0,no,no
2002,Training Day , Denzel Washington,0,2,0.0,yes,no
2002,Ali , Will Smith,0,2,0.0,no,no
2002,A Beautiful Mind , Russell Crowe,4,4,100.0,no,yes
2002,I Am Sam , Sean Penn,0,2,0.0,no,no
2002,In the Bedroom , Tom Wilkinson,1,3,33.33333333333333,no,no
2003,The Pianist , Adrien Brody,0,3,0.0,yes,no
2003,About Schmidt , Jack Nicholson,1,3,33.33333333333333,no,yes
2003,Adaptation. , Nicolas Cage,0,2,0.0,no,no
2003,Gangs of New York , Daniel Day-Lewis,3,4,75.0,no,no
2003,The Quiet American , Michael Caine,0,2,0.0,no,no
2004,Mystic River , Sean Penn,2,4,50.0,yes,yes
2004,Cold Mountain , Jude Law,0,2,0.0,no,no
2004,House of Sand and Fog , Ben Kingsley,0,4,0.0,no,no
2004,Lost in Translation , Bill Murray,2,4,50.0,no,no
2004,Pirates of the Caribbean: The Curse of the Black Pearl , Johnny Depp,1,3,33.33333333333333,no,no
2005,Ray , Jamie Foxx,3,3,100.0,yes,no
2005,The Aviator , Leonardo DiCaprio,1,4,25.0,no,yes
2005,Finding Neverland , Johnny Depp,0,4,0.0,no,no
2005,Hotel Rwanda , Don Cheadle,0,3,0.0,no,no
2005,Million Dollar Baby , Clint Eastwood,0,0,0,no,no
2006,Capote , Philip Seymour Hoffman,5,5,100.0,yes,yes
2006,Brokeback Mountain , Heath Ledger,0,5,0.0,no,no
2006,"Good Night, and Good Luck. ", David Strathairn,0,5,0.0,no,no
2006,Hustle & Flow , Terrence Howard,0,3,0.0,no,no
2006,Walk the Line , Joaquin Phoenix,0,3,0.0,no,no
2007,The Last King of Scotland , Forest Whitaker,4,4,100.0,yes,yes
2007,Blood Diamond , Leonardo DiCaprio,0,3,0.0,no,no
2007,Half Nelson , Ryan Gosling,1,3,33.33333333333333,no,no
2007,The Pursuit of Happyness , Will Smith,0,3,0.0,no,no
2007,Venus , Peter O'Toole,0,4,0.0,no,no
2008,There Will Be Blood , Daniel Day-Lewis,4,4,100.0,yes,yes
2008,Eastern Promises , Viggo Mortensen,0,4,0.0,no,no
2008,In the Valley of Elah , Tommy Lee Jones,0,0,0,no,no
2008,Michael Clayton , George Clooney,0,4,0.0,no,no
2008,Sweeney Todd: The Demon Barber of Fleet Street , Johnny Depp,0,1,0.0,no,no
2009,Milk , Sean Penn,2,5,40.0,yes,no
2009,The Curious Case of Benjamin Button , Brad Pitt,0,4,0.0,no,no
2009,Frost/Nixon , Frank Langella,0,4,0.0,no,no
2009,The Visitor , Richard Jenkins,0,3,0.0,no,no
2009,The Wrestler , Mickey Rourke,3,5,60.0,no,yes
2010,Crazy Heart , Jeff Bridges,4,5,80.0,yes,yes
2010,A Single Man , Colin Firth,1,5,20.0,no,no
2010,Invictus , Morgan Freeman,0,3,0.0,no,no
2010,The Hurt Locker , Jeremy Renner,0,3,0.0,no,no
2010,Up in the Air , George Clooney,0,4,0.0,no,no
2011,The King's Speech , Colin Firth,4,4,100.0,yes,yes
2011,Biutiful , Javier Bardem,0,1,0.0,no,no
2011,True Grit , Jeff Bridges,0,3,0.0,no,no
2011,The Social Network , Jesse Eisenberg,0,4,0.0,no,no
2011,127 Hours , James Franco,1,5,20.0,no,no
2012,The Artist , Jean Dujardin,3,4,75.0,yes,no
2012,A Better Life ,Demian Bichir,0,2,0.0,no,no
2012,The Descendants , George Clooney,2,4,50.0,no,yes
2012,Tinker Tailor Soldier Spy , Gary Oldman,0,1,0.0,no,no
2012,Moneyball , Brad Pitt,0,4,0.0,no,no
2013,Lincoln , Daniel Day-Lewis,4,4,100.0,yes,yes
2013,Silver Linings Playbook , Bradley Cooper,0,4,0.0,no,no
2013,Les Mis, Hugh Jackman,0,3,0.0,no,no
2013,The Master , Joaquin Phoenix,0,3,0.0,no,no
2013,Flight , Denzel Washington,0,3,0.0,no,no
2014,Dallas Buyers Club , Matthew McConaughey,4,4,100.0,yes,yes
2014,American Hustle , Christian Bale,0,2,0.0,no,no
2014,Nebraska , Bruce Dern,0,4,0.0,no,no
2014,The Wolf of Wall Street , Leonardo DiCaprio,0,1,0.0,no,no
2014,12 Years a Slave , Chiwetel Ejiofor,1,5,20.0,no,no
2015,The Theory of Everything , Eddie Redmayne,3,4,75.0,yes,yes
2015,Foxcatcher , Steve Carell,0,2,0.0,no,no
2015,The Imitation Game , Benedict Cumberbatch,0,4,0.0,no,no
2015,American Sniper , Bradley Cooper,0,0,0,no,no
2015,Birdman or (The Unexpected Virtue of Ignorance) , Michael Keaton,2,4,50.0,no,no
2016,The Revenant , Leonardo DiCaprio,4,4,100.0,yes,yes
2016,Trumbo , Bryan Cranston,0,4,0.0,no,no
2016,Steve Jobs , Michael Fassbender,0,4,0.0,no,no
2016,The Danish Girl , Eddie Redmayne,0,4,0.0,no,no
2016,The Martian , Matt Damon,0,2,0.0,no,no
